rot,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area,personal_valid
You shouldn't do drugs.,doing drugs.,"I just left my fiancee of 3 +years, and I'm terrified hes going to turn back to drugs.",societal-conventional,medium_agreement,2,-1,50%,confessions,0
It's not okay to be an adult and into childish things.,being an adult and into childish things.,I still play the sims and I’m 18,societal-conventional,medium_agreement,2,-1,50%,confessions,0
It is wrong to prank others.,pranking others.,I may get metoo'd soon for a prank I did to my female coworker,societal-conventional,medium_agreement,2,-1,50%,confessions,0
It's juvenile to want to permanently color on your skin.,wanting to permanently color on your skin.,wanting to get a tattoo while traveling with so,societal-conventional,medium_agreement,2,0,50%,amitheasshole,0
You should always answer when someone calls you.,always answering when someone calls you.,She got a call from her best friend Becky.,societal-conventional,medium_agreement,2,0,50%,rocstories,0
Adults are expected to bathe daily.,bathing daily as an adult,I am taking a bath...,societal-conventional,medium_agreement,2,0,50%,confessions,0
It's coming to potty train 2 year olds.,potty training 2 year olds.,Liz was trying to potty train her two year old.,societal-conventional,medium_agreement,2,0,50%,rocstories,0
It's encouraged to share your feelings with people who you admire.,sharing your feelings with people who you admire.,I can't stop thinking about him.,societal-conventional,medium_agreement,2,1,50%,confessions,0
It's wrong to ditch others.,ditching others.,storming out of my job,societal-conventional,medium_agreement,2,-1,50%,amitheasshole,0
It's good to invite friends to your house.,inviting friends to your house.,Laura was invited to her friend's house for dinner.,societal-conventional,medium_agreement,2,1,50%,rocstories,0
It's understood that some people prefer to spend the Holidays by themselves.,preferring to spend the Holidays by themselves.,wanting to spend Thanksgiving alone,societal-conventional,medium_agreement,2,0,50%,amitheasshole,0
It's bad to have a messy house.,having a messy house.,not doing chores around the house,societal-conventional,medium_agreement,2,-1,50%,amitheasshole,0
You shouldn't get upset at your partner.,getting upset at your partner.,getting mad at my girlfriend,societal-conventional,medium_agreement,2,-1,50%,amitheasshole,0
You should not try to dictate what your spouse keeps and gets rid of.,trying to dictate what your spouse keeps and gets rid of.,wanting my husband to sell his german wwii memorabilia and donate it to charity,societal-conventional,medium_agreement,2,-1,50%,amitheasshole,0
It's a bad idea to turn a friendship into a romance,turning a friendship into a romance,I really really like my best friend and I can't get over it,societal-conventional,medium_agreement,2,-1,50%,confessions,0
It's OK to not want to share your food with someone.,not wanting to share your food with someone,not sharing food with my best friend,societal-conventional,medium_agreement,2,-1,50%,amitheasshole,0
It's important to make an appointment before getting your nails done.,making an appointment before getting your nails done,He made an appointment at the nail salon with his favorite artist.,societal-conventional,medium_agreement,2,0,50%,rocstories,0
It's understandable to feel offended when you don't get a gift.,feeling offended when you don't get a gift.,Stepson Snubbed by Family's Habit of Selective Gift-Giving,societal-conventional,medium_agreement,2,0,50%,dearabby,0
You shouldn't expect your partner to step in when someone hits on you.,expecting your partner to step in when someone hits on you.,telling my girlfriend it's her choice on how to deal with guys hitting on her,societal-conventional,medium_agreement,2,-1,50%,amitheasshole,0
It's expected to facetime for a video call interview,Facetiming for a video call interview,not facetiming,societal-conventional,medium_agreement,2,0,50%,amitheasshole,0
It's wrong to be into something that is annoying.,being into something that is annoying.,I Don't Hate Taylor Swift's Music,societal-conventional,medium_agreement,2,-1,50%,confessions,0
It's wrong to fake your emotions.,faking your emotions.,"Whenever I need to fake cry, my go-to memory is from the movie Sully and the part where the flight attendants are chanting ""brace, brace, brace. Heads down, stay down!""",societal-conventional,medium_agreement,2,-1,50%,confessions,0
It's understandable to not want to spend too much money on a sick pet.,not wanting to spend too much money on a sick pet.,"considering euthanizing our cat because he's gotten sick, and pet care in the US is outrageously expensive",societal-conventional,medium_agreement,2,-1,50%,amitheasshole,0
You shouldn't talk about the shortcomings of a family member.,talking about the shortcomings of a family member.,pointing out that my brother rage quit in a game,societal-conventional,medium_agreement,2,-1,50%,amitheasshole,0
It's good to be interested in popular things.,being interested in popular things.,Why Are Tattoos So Popular Today?,societal-conventional,medium_agreement,2,0,50%,dearabby,0
You shouldn't let someone else eat your food.,letting someone else eat your food.,eating someone else's ice cream on my birthday,societal-conventional,medium_agreement,2,-1,50%,amitheasshole,0
It's rude to sleep in front of your friends.,sleeping in front of your friends.,I’m crying next to my sleeping bf,societal-conventional,medium_agreement,2,-1,50%,confessions,0
You should always clean your room.,always cleaning your room.,My bedroom is disgusting. I mean really really disgusting and I’m ashamed,societal-conventional,high_agreement,4,1,>99%,confessions,0
It's good to spend time with friends.,spending time with friends.,I almost missed thanksgiving last year spending all day making origami with my best friends,societal-conventional,high_agreement,4,1,>99%,confessions,0
It is understandable to want your child to have a good birthday.,wanting your child to have a good birthday.,being angry at an old family friend for cancelling my son's third birthday,societal-conventional,high_agreement,4,2,>99%,amitheasshole,0
It's rude to have expectations about gifts.,having expectations about gifts.,Bridesmaid's Alteration Is Not Gift Enough for Bride,societal-conventional,high_agreement,3,-1,75-90%,dearabby,0
It's rude to expect others to travel to your events at their own expense.,expecting others to travel to your events at their own expense.,Gift' of a Cruise Puts Friend in Troubled Financial Water,societal-conventional,high_agreement,3,-1,75-90%,dearabby,0
You should express your condolences when an ex dies.,expressing your condolences when an ex dies.,My ex fiance passed away at 32.,societal-conventional,high_agreement,3,1,75-90%,confessions,0
It is OK to have tattoos.,having tattoos.,Tattooed Mom Greets Curious Stares With a Friendly Smile,societal-conventional,high_agreement,3,0,75-90%,dearabby,0
It's understandable to want things around you that make you happy.,wanting things around you that make you happy.,She is happy to have flowers in her apartment.,societal-conventional,high_agreement,4,0,>99%,rocstories,0
It's okay to get irritated sometimes by the things others do.,getting irritated sometimes by the things others do.,Bride's Plan for Adults Only Reception Irks Older Sister,societal-conventional,high_agreement,3,0,75-90%,dearabby,0
Medical professionals are expected to maintain a high level of professionalism.,maintaining a high level of professionalism.,Therapy Session Gone Wrong,societal-conventional,high_agreement,4,0,>99%,confessions,0
It's good to have things in common with your partner's parents.,having things in common with your partner's parents.,not wanting to share a hobby with my partner's mom,societal-conventional,high_agreement,3,0,75-90%,amitheasshole,0
You should always respect your partner and what they want.,always respecting your partner and what they want.,Binge Drinkers' 'Good Times' Aren't Shared by Their Spouses,societal-conventional,high_agreement,3,1,75-90%,dearabby,0
It's bad to be unaccepting of your partner.,being unaccepting of your partner,My boyfriend left me because of my stutter.,societal-conventional,high_agreement,3,-1,75-90%,confessions,0
It's mean to put spicy stuff in people's food,putting spicy stuff in people's food,I routinely spike my mate's food with really spicy hot sauce.,societal-conventional,high_agreement,3,-1,75-90%,confessions,0
You should feel okay about prioritizing your well being over any social obligations.,prioritizing your well being over any social obligations.,not wanting to go on a vacation with the in-laws 4-6 wks after giving birth,societal-conventional,high_agreement,3,0,75-90%,amitheasshole,0
People should be excited when they're about to get married.,being excited when you're about to get married.,"Tomorrow is my dream day, its my wedding day. Tomorrow is the day i waited for ages.",societal-conventional,high_agreement,4,0,>99%,confessions,0
It's okay to express your opinions on social media.,expressing your opinions on social media.,blocking my friend of 4 years on FB for a transphobic meme,societal-conventional,high_agreement,3,0,75-90%,amitheasshole,0
You should take care of your appearance.,taking care of your appearance.,not combing my hair,societal-conventional,high_agreement,3,0,75-90%,amitheasshole,0
You should think of ideas to help a person you know well.,thinking of ideas to help a person you know well.,I wasn't really sure what to do so I asked my friends.,societal-conventional,high_agreement,3,1,75-90%,rocstories,0
Parents should always be spoken to respectfully.,Parents  always being spoken to respectfully.,losing my temper at my dad,societal-conventional,high_agreement,3,0,75-90%,amitheasshole,0
It's understandable to have a little fun with people by putting on a show.,It's understandable to have a little fun with people by putting on a show.,I put on different accents when talking to strangers I’m unlikely to see again.,societal-conventional,high_agreement,4,0,>99%,confessions,0
It is ok to be upset with someone who watches you struggle and does not help.,being upset with someone who watches you struggle and does not help.,letting an old lady fall down,societal-conventional,high_agreement,3,0,75-90%,amitheasshole,0
It's rude to use a friend for your personal gain.,using a friend for your personal gain,sleeping with my friend who is in love with me just bc he made me feel better about myself,societal-conventional,high_agreement,4,-1,>99%,amitheasshole,0
It's good to be respectful toward the men and women serving in the military.,being respectful toward the men and women serving in the military.,Army Wife Answers Online Critics of Soldiers and Wives,societal-conventional,high_agreement,3,1,75-90%,dearabby,0
It's good to accept gifts from your friends.,accepting gifts from your friends.,One day my friend bought me a pair of gloves to clean with.,societal-conventional,high_agreement,4,1,>99%,rocstories,0
Children are expected to attend school.,attending school.,Alan was bringing his son to school.,societal-conventional,high_agreement,4,0,>99%,rocstories,0
It's wrong to be pressured to like a friend's significant other.,being pressured to like a friend's significant other.,not wanting to be friends with my friend's girlfriend,societal-conventional,high_agreement,3,-1,75-90%,amitheasshole,0
You should talk with your child and see what you can do differently in the future if they do not love you.,talking with your child and seeing what you can do differently in the future when they do not love you.,not loving my dad,societal-conventional,high_agreement,3,0,75-90%,amitheasshole,0
It's good to be yourself.,being yourself.,People say that I'm cold,societal-conventional,high_agreement,3,1,75-90%,confessions,0
It's good to take care of your lawn to make it looks nice for others.,taking care of your lawn to make it looks nice for others,I wanted green grass just like my neighbor.,societal-conventional,high_agreement,3,0,75-90%,rocstories,0
It's nice to make a meal for someone else.,making a meal for someone else.,She made Bob a dish that had a small amount of bananas in it.,societal-conventional,high_agreement,3,1,75-90%,rocstories,0
It's nice to worry about your parents.,worrying about your parents.,Son Lives in Constant Fear for Unhappy Mom's Welfare,societal-conventional,high_agreement,4,1,>99%,dearabby,0
It's understandable that everyone needs to obey the law.,everyone needing to obey the law.,A policeman stopped him and wrote him a ticket.,societal-conventional,high_agreement,4,0,>99%,rocstories,0
It's polite to take part in the lives of your significant others' family.,taking part in the lives of your significant others' family.,being mad at my girlfriend for wanting to do something else the weekend of my sisters wedding,societal-conventional,high_agreement,4,1,>99%,amitheasshole,0
Sometimes people don't appreciate their significant others talking to an ex boyfriend or ex girlfriend.,appreciating their significant others talking to an ex boyfriend or ex girlfriend.,breaking up with my girlfriend when she's not allowing me to have contact with an ex,societal-conventional,high_agreement,3,-1,75-90%,amitheasshole,0
Parents should take care of children and not the other way around.,Parents taking care of children and not the other way around.,telling my mom to find somewhere else to live,societal-conventional,high_agreement,3,0,75-90%,amitheasshole,0
It's not okay to steal someone's roles from them in life.,stealing someone's roles from them in life.,Dad Who Took on Fatherhood Finds His Title Taken Away,societal-conventional,high_agreement,3,-1,75-90%,dearabby,0
It is bad to let someone stop you from having friends.,letting someone stop you from having friends.,Female Friendships Are A Threat To Woman's Fiance,societal-conventional,high_agreement,3,-1,75-90%,dearabby,0
It's wrong to get involved in others people's relationship.,getting involved in others people's relationship,I told a strangers fiancé he was cheating.,societal-conventional,high_agreement,3,-1,75-90%,confessions,0
It's considerate to show gratitude when others help you.,showing gratitude when others help you.,"Despite all the pain, I only want to thank you.",societal-conventional,high_agreement,4,1,>99%,confessions,0
You should have more self-respect for yourself.,having more self-respect for yourself,I hate hanging out with my friends sometimes because they all seem so much better than me in every way,personal-psychological,low_agreement,0,0,<1%,confessions,1
Breaking down is a good way to get your thoughts and feelings out in the open.,getting your thoughts and feelings out in the open by breaking down,I broke down in front of my best friend,personal-psychological,low_agreement,1,0,5-25%,confessions,1
It is polite to explain your feelings if telling someone I love you for the first time.,explaining your feelings if telling someone I love you for the first time,"not saying ""I love you"" back",personal-psychological,low_agreement,1,1,5-25%,amitheasshole,1
It's wrong to know your parent's secrets.,knowing your parent's secrets.,I know my mom dates.,personal-psychological,low_agreement,1,-1,5-25%,confessions,1
It's okay to keep your pass private,keeping your pass private,I slept with her ex and she wants to be friends do I tell her?,personal-psychological,low_agreement,1,0,5-25%,confessions,1
It's good to avoid the poisonous radio waves that mind controlling technology spews.,avoiding the poisonous radio waves that mind controlling technology spews.,Husband's Luddite Attitude Puts a Heavy Burden on Wife,personal-psychological,low_agreement,0,0,<1%,dearabby,1
It's okay to ask questions about your friend's new ear.,asking questions about your friend's new ear.,Soon Karin had a new ear and was playing happily with her friends.,personal-psychological,low_agreement,1,0,5-25%,rocstories,1
It is gross to sleep with your stepsisters best friend.,sleep with your stepsisters best friend.,sleeping with my stepsister's friend,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole,1
It's okay to ask a friend to go on a romantic cruise with you.,asking a friend to go on a romantic cruise with you.,I’m afraid my feelings would ruin the friendship,personal-psychological,low_agreement,1,0,5-25%,confessions,1
You shouldn't have your partner over when you have your friend over at your house.,having your partner over when you have your friend over at your house.,staying @ bros apartment for the night and he says his booty call is coming over. I tell him no,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole,1
Letting your GF's sister know how you truly feel is the best way to go.,Letting your GF's sister know how you truly feel,"telling my GF's sister not to touch my newborn son because she insulted him, me, and my gf",personal-psychological,low_agreement,1,1,5-25%,amitheasshole,1
You should always do what your sibling's tell you.,doing what your sibling's tell you.,Sister Protests When Brothers Shirk Their Assigned Chores,personal-psychological,low_agreement,1,0,5-25%,dearabby,1
It is good to deny an overweight child snacks.,denying an overweight child snacks.,not giving my overweight son a donut,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole,1
You should be scared of your feelings for someone.,being scared of your feelings for someone,I'm in love with Sarah,personal-psychological,low_agreement,0,0,<1%,confessions,1
If your sister is not able to take care of her kids on her own and you no longer want to do it you need to find someone else to take care of them.,finding someone to take of your sister's kids when she is unable to take care of her kids on her own and you no longer want to do it,not wanting to take care of my sister's kids,personal-psychological,low_agreement,1,0,5-25%,amitheasshole,1
"It is okay to not lend out your clothes at all, but it can lead to hurt feelings.",not lending out your clothes can lead to hurt feelings.,not letting my sister burrow my clothes,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole,1
You should always try to mediate your parent's arguments.,always trying to mediate your parent's arguments.,Adult Should Play The Peacemaker In Parents' Ongoing War,personal-psychological,low_agreement,1,-1,5-25%,dearabby,1
You should involve yourself in your friend's   romantic relationships.,involving yourself in your friend's   romantic relationships.,blabbing about a buddy's lies to his GF,personal-psychological,low_agreement,1,0,5-25%,amitheasshole,1
It would be wrong for you to practice fasting if your wife has a history of eating disorders.,fasting if your wife has a history of eating disorders.,fasting for extended periods of time despite my wife's history with eating disorders,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole,1
You should thank your parent for trying to form a relationship with your partner.,thank your parent for trying to form a relationship with your partner.,Mom Tries to Go the Distance to Connect With Son's Wife,personal-psychological,low_agreement,1,0,5-25%,dearabby,1
If your child is making dangerous decisions it is acceptable to step back and leave them alone.,stepping back and leaving them alone if your child is making dangerous decisions,Mom Feels Helpless Watching Troubled Son Waste His Life,personal-psychological,low_agreement,0,0,<1%,dearabby,1
It is ok to be upset if your boyfriend broke up with you but blamed constipation.,being upset when your boyfriend broke up with you but blamed constipation.,I'm going to dump my girlfriend because I'm lifelong constipated.,personal-psychological,low_agreement,1,0,5-25%,confessions,1
It's not okay to dwell on things when you are a child.,dwelling on things when you were a child.,"My ""le epic comeback"" memory in middle school",personal-psychological,low_agreement,1,0,5-25%,confessions,1
You should tell your friend you don't appreciate them tagging along with your everywhere.,telling your friend you don't appreciate them tagging along with your everywhere.,Tag Along Friend Considers Herself Part of the Family,personal-psychological,low_agreement,1,0,5-25%,dearabby,1
"If you feel empty after your parent passes away, you should get some therapy.","getting some therapy when you feel empty after your parent passes away,",My dad just passed away and I feel empty.,personal-psychological,low_agreement,1,0,5-25%,confessions,1
It is good to keep people you don't want to date at a distance so they don't get their feelings hurt.,keeping people you don't want to date at a distance so they don't get their feelings hurt.,"trying to be friends with a guy I briefly dated, who likely still likes me",personal-psychological,low_agreement,1,0,5-25%,amitheasshole,1
Sometimes it's better to lie to someone to spare their feelings than to be blunt.,lying to someone to spare their feelings rather than being blunt.,lying to break up with my ex,personal-psychological,low_agreement,1,1,5-25%,amitheasshole,1
You should always try to mediate your parent's arguments.,always trying to mediate your parent's arguments.,Adult Should Play The Peacemaker In Parents' Ongoing War,personal-psychological,low_agreement,1,0,5-25%,dearabby,1
"When your friend shows your classmates your baby pictures, you should laugh it off.",laughing it off when your friends shows your classmates your baby pictures.,Brad had shown the whole school his embarrassing baby pictures.,personal-psychological,low_agreement,1,0,5-25%,rocstories,1
You shoiuld give a parent a chance to earn your love if you do not love them.,giving your parent a chance to earn your love when you do not love them.,not loving my dad,personal-psychological,low_agreement,1,0,5-25%,amitheasshole,1
It's normal to develop feelings for close friend,Developing feelings for close friend,I really really like my best friend and I can't get over it,personal-psychological,low_agreement,1,0,5-25%,confessions,1
"When you buy someone an anniversary present, you should make it personal.",making it personal when you buy someone an anniversary present.,He got them a smart phone for their anniversary.,personal-psychological,low_agreement,1,0,5-25%,rocstories,1
It's good to practice law with your parent.,practicing law with your parent.,I practice law with my father and I had to turn him into the state bar. My family now hates me.,personal-psychological,low_agreement,1,0,5-25%,confessions,1
Depriving others of sharing pictures with you leads to hurt feelings and should be avoided.,Depriving others of sharing pictures with you leads to hurt feelings,asking others not to post my photos on fb,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole,1
It's fine to work as someone's personal servant.,working as someone's personal servant,I was another student's personal servant in college,personal-psychological,low_agreement,1,0,5-25%,confessions,1
You should always try to mediate your parent's arguments.,trying to mediate your parent's arguments.,Adult Should Play The Peacemaker In Parents' Ongoing War,personal-psychological,low_agreement,1,1,5-25%,dearabby,1
You should find a place online to let out your feelings.,Finding a place online to let out your feelings.,Just need an outlet,personal-psychological,low_agreement,1,1,5-25%,confessions,1
It's bad to try to self diagnose health issues.,trying to self diagnose health issues.,I think I have Asperger's Syndrome,personal-psychological,low_agreement,1,-1,5-25%,confessions,1
It is dramatic to run to the doctor everytime your child feels sick.,running to the doctor every time your child feels sick.,Her mother decided to take her to the doctor to make sure she was ok.,personal-psychological,low_agreement,1,-1,5-25%,rocstories,1
You don't have to do anything with your girlfriend that you don't want to do.,having to do anything with your girlfriend that you don't want to do,not playing Minecraft with my girlfriend,personal-psychological,low_agreement,1,-1,5-25%,amitheasshole,1
You shouldn't expect your crush to reciprocate their feelings for you.,expecting your crush to reciprocate their feelings for you.,I have a crush.,personal-psychological,medium_agreement,2,-1,50%,confessions,1
It's not okay for parents to be emotionally attached to their kids personal lives.,being emotionally attached to their kids personal lives.,Matchmaking Mom Wants Son's Gal Pal in the Family,personal-psychological,medium_agreement,2,-1,50%,dearabby,1
"If you can't get over your friend abandoning you years ago, you should get some help.",getting some help when you can't get over your friend abandoning you years ago,"My best friend ghosted me five years ago, and I'm still not over it.",personal-psychological,medium_agreement,2,0,50%,confessions,1
You shouldn't have a child if you're too young.,having a child if you're too young.,I have parental feelings but i am too young to have a child,personal-psychological,medium_agreement,2,-1,50%,confessions,1
It's okay to share personal information with others.,sharing personal information with others.,To get it off my chest,personal-psychological,medium_agreement,2,0,50%,confessions,1
You should get some therapy if you're a guy and want to be a wife.,getting some therapy if you're a guy and want to be a wife.,I'm a guy in a committed hereto relationship but secretly I'd love to be a wife.,personal-psychological,medium_agreement,2,0,50%,confessions,1
You should try to ignore your feelings when you're working and just let the work pour through you,trying to ignore your feelings when you're working and just letting the work pour through you,My work slowed to a sluggish pace and I couldn't focus at all.,personal-psychological,medium_agreement,2,1,50%,rocstories,1
You shouldn't be resentful with a parent over their divorce.,being resentful with a parent over their divorce,Parents' Divorce Is Painful for Mother and Daughter,personal-psychological,medium_agreement,2,-1,50%,dearabby,1
You should cancel your wedding if your parent suddenly dies.,cancelling your wedding when your parent suddenly dies.,Bride Scales Back Wedding Plans After Father's Sudden Death,personal-psychological,medium_agreement,2,0,50%,dearabby,1
A child shouldn't expect to have privacy from a parent that they rely on for everything.,expecting to have privacy from a parent that they rely on for everything.,being mad at my mom for checking my phone,personal-psychological,medium_agreement,2,0,50%,amitheasshole,1
It's good to make amends when you've been rivaling your sibling your whole life,making amends when you've been rivaling your sibling your whole life,Sibling Rivals Now Find Family Bond as Gay Adults,personal-psychological,medium_agreement,2,1,50%,dearabby,1
You shouldn't put a damper on your parent's plans.,putting a damper on your parent's plans.,Daughter's Switch of Wedding Site Puts Damper on Mom's Plan,personal-psychological,medium_agreement,2,-1,50%,dearabby,1
You shouldn't change your personality to suit the person you are hanging out with.,changing your personality to suit the person you are hanging out with,I have a tendancy to change my behaviour and personality according to each persons preferences.,personal-psychological,medium_agreement,2,-1,50%,confessions,1
It's okay to be furious if your spouse won't let you join them in a line.,being furious if your spouse won't let you join them in a line.,telling my wife to go to the back of the line,personal-psychological,medium_agreement,2,0,50%,amitheasshole,1
It is good to move on from a friend if you truly hate them.,moving on from a friend if you truly hate them.,"Hated my ""friend"" for a while, but didnt have the heart to tell him...",personal-psychological,medium_agreement,2,1,50%,confessions,1
It's understandable if you're offended when your friend doesn't get you anything for your birthday.,being offended when your friend doesn't get you anything for your birthday.,not giving my friend a gift,personal-psychological,medium_agreement,2,0,50%,amitheasshole,1
It's okay to let your emotions show.,letting your emotions show,I have cried everyday for over 3 months.,personal-psychological,medium_agreement,2,0,50%,confessions,1
It's good to consult your parent before you sell something precious and expensive.,consulting your parent before you sell something precious and expensive.,Ricky and his father sold the autographed card.,personal-psychological,medium_agreement,2,1,50%,rocstories,1
It is good to tell someone you have feelings for them.,telling someone you have feelings for them.,I can’t tell if this girl is into me or if she just has a flirtatious personality.,personal-psychological,medium_agreement,2,0,50%,confessions,1
It is good to say what is on your mind.,saying what is on your mind.,saying what I said,personal-psychological,medium_agreement,2,1,50%,amitheasshole,1
It's good to have a best friend.,having a best friend.,Ross's brother grew up and they're now best friends.,personal-psychological,medium_agreement,2,0,50%,rocstories,1
It's good to have a boyfriend.,having a boyfriend.,My ex boyfriend died yesterday.,personal-psychological,medium_agreement,2,0,50%,confessions,1
You shouldn't put your personal photos on a company computer.,putting your personal photos on a company computer,I then deleted her photos from the company computer.,personal-psychological,medium_agreement,2,-1,50%,rocstories,1
It's not okay to drink so much it effects your personality.,drinking so much it effects your personality.,She realized then he'd had too much to drink.,personal-psychological,medium_agreement,2,-2,50%,rocstories,1
You should learn to like your parent's friends.,learning to like your parent's friends.,asking my mom's best friend not to visit her anymore,personal-psychological,medium_agreement,2,0,50%,amitheasshole,1
You shouldn't leave the dorm just because your roommate tells you to.,leaving the dorm just because your roommate tells you to.,not leaving the dorm when my roommate wants more privacy with his girlfriend,personal-psychological,medium_agreement,2,-1,50%,amitheasshole,1
You should be able to trust your roommate,being able to trust your roommate,I used to spy on my roommate while he showered,personal-psychological,medium_agreement,2,0,50%,confessions,1
It's bad to let your emotions control your life.,letting your emotions control your life.,I am scared in my new relationship,personal-psychological,medium_agreement,2,-1,50%,confessions,1
Sometimes being a parent means that you must show disapproval.,"showing disapproval, as a parent","My mom was always unhappy with us, but it was okay.",personal-psychological,medium_agreement,2,0,50%,rocstories,1
It's not okay to let something little take over your thoughts.,letting something little take over your thoughts.,Tom had a recurring dream about a man chasing him down an alley.,personal-psychological,medium_agreement,2,-1,50%,rocstories,1
It is best to keep your feelings to yourself if you are positive the other person does not feel the same way.,keeping your feelings to yourself when you are positive the other person does not feel the same way.,Im madly in love with this girl,personal-psychological,medium_agreement,2,1,50%,confessions,1
It's expected you mind your business when others are doing things,minding your business when others are doing things,potentially getting a fake service dog and his owner kicked out of the apartment complex,personal-psychological,medium_agreement,2,0,50%,amitheasshole,1
You can't expect your child to like your new partner.,expecting your child to like your new partner.,Mom Worries Fearful Toddler Will Be Scared of Strange Dad,personal-psychological,medium_agreement,2,-1,50%,dearabby,1
It's bad to be afraid of being a parent.,being afraid of being a parent.,I absolutely hate children,personal-psychological,medium_agreement,2,-1,50%,confessions,1
You shouldn't hide your feelings from your best friend.,hiding your feelings from your best friend.,I’m in love with my best friend and she has no idea,personal-psychological,medium_agreement,2,-1,50%,confessions,1
It's bad to reveal details that are too personal about yourself on a first date.,revealing details that are too personal about yourself on a first date.,First Date Is Not the Time to Reveal Your Hiv Status,personal-psychological,medium_agreement,2,-1,50%,dearabby,1
"It's understandable to change your mind, even after significant decisions.","changing your mind, even after significant decisions.",I'm a girl and I've been dating this other girl for almost 2 years. I'm starting to figure out that I am actually straight.,personal-psychological,medium_agreement,2,0,50%,confessions,1
You should talk to a grief counselor when your sibling dies.,talking to a grief counselor when your sibling dies.,"Aunt's Death, Sister's Silence Deal Woman a Double Blow",personal-psychological,medium_agreement,2,1,50%,dearabby,1
You shouldn't be around people that boss you around.,being around people that boss you around.,Now he's a lot happier with people who don't tell him what to do.,personal-psychological,medium_agreement,2,-1,50%,rocstories,1
You shouldn't discuss personal issues with others during work.,discussing personal issues with others during work.,not consoling the choreographer who mentioned her deeply personal issue out of the blue in the middle of a rehearsal,personal-psychological,medium_agreement,2,-1,50%,amitheasshole,1
It's good to tell your honest feelings to others.,telling your honest feelings to others.,waiting with telling my ex-girlfriend that the baby cannot be mine,personal-psychological,high_agreement,4,1,>99%,amitheasshole,1
It is bad to resent your spouse.,resenting your spouse.,Pregnant Wife's Emotions Are Causing Resentment in New Husband,personal-psychological,high_agreement,4,-1,>99%,dearabby,1
You should talk to your roommate when their behavior is concerning.,talking to your roommate when their behavior is concerning.,moving out because my roommate is self destructive,personal-psychological,high_agreement,3,0,75-90%,amitheasshole,1
It's good to be aware of your shortcomings as a friend.,being aware of your shortcomings as a friend.,I'm a TERRIBLE Friend,personal-psychological,high_agreement,3,1,75-90%,confessions,1
You should tell your parent if they are being obnoxious.,telling your parent if they are being obnoxious.,asking my mom politely to stop singing,personal-psychological,high_agreement,3,0,75-90%,amitheasshole,1
It's good to let your feelings out when you can't hold them in.,letting your feelings out if you can't hold them in,"Lets give this a try,  cant hold it in anymore.",personal-psychological,high_agreement,3,0,75-90%,confessions,1
You shouldn't brag about cheating on a girlfriend.,bragging about cheating on a girlfriend.,I tried to cheat on my girlfriend,personal-psychological,high_agreement,4,-1,>99%,confessions,1
You should be supportive of your mom's friends.,being supportive of your mom's friends.,Daughter Tired of Indulging Mom's Proselytizing Friend,personal-psychological,high_agreement,3,0,75-90%,dearabby,1
It's good to look out for a friend and find them work when you can.,looking out for a friend and find them work when you can.,James who is joe's friend taught him how to play.,personal-psychological,high_agreement,4,1,>99%,rocstories,1
"If you don't have any emotions, you should get some therapy.",getting some therapy when you don't have any emotions.,"Sometimes I have no emotions, at all.",personal-psychological,high_agreement,4,0,>99%,confessions,1
It's good to try to get along with your friend's significant other.,trying to get along with your friend's significant other.,"telling my (former) friend that her new bf is a dick, and ruining our relationship because of it",personal-psychological,high_agreement,3,1,75-90%,amitheasshole,1
It's okay to take your child to the museum.,taking your child to the museum.,He exclaimed it was his favorite part of the exhibit.,personal-psychological,high_agreement,3,0,75-90%,rocstories,1
You shouldn't get upset at a friend over video games.,getting upset at a friend over video games.,spereating myself from a friend because of Playstation drama,personal-psychological,high_agreement,3,-1,75-90%,amitheasshole,1
You should be honest about your intentions with people.,being honest about your intentions with people.,asking my friend's bf to refund my travel as he only told me after I'd made some non-refundable bookings that he didn't want me to visit,personal-psychological,high_agreement,3,0,75-90%,amitheasshole,1
You should not care about the gender of your child.,caring about the gender of your child.,He hopes for boy while his wife wants a girl.,personal-psychological,high_agreement,3,-1,75-90%,rocstories,1
You should do what you can to maintain a relationship with a girlfriend.,doing what you can to maintain a relationship with a girlfriend.,Today I lost my girlfriend my wallet and my job,personal-psychological,high_agreement,3,0,75-90%,confessions,1
It's not okay to not know your true feelings.,not knowing your true feelings.,Confused with my love life.,personal-psychological,high_agreement,3,0,75-90%,confessions,1
It is smart to try and limit an overweight childs snack intake.,trying to limit an overweight child's snack intake.,not giving my overweight son a donut,personal-psychological,high_agreement,3,1,75-90%,amitheasshole,1
"When you fake your personality online, you shouldn't expect a meaningful relationship to come out of it.",expecting  a meaningful relationship when you fake your personality online,I create a fake internet personality for every new interest I have. I'm up to 15 now,personal-psychological,high_agreement,3,-1,75-90%,confessions,1
It is good to support a friend getting help for past trauma.,supporting a friend getting help for past trauma.,"Bullied a lot as a kid and now I'm a dysfunctional, angry adult",personal-psychological,high_agreement,3,1,75-90%,confessions,1
